county,hhi
硚口区,0.23837868480725632
江夏区,0.08969179430965671
大冶市,0.16417355371900832
江岸区,0.29103569863551326
东西湖区,0.0900342234822394
经开区,0.0915538505743895
黄陂区,0.15474865908027105
武昌区,0.4044313018984064
鄂州市,0.3814407113915881
汉阳区,0.13700369344413693
新洲区,0.2502027177545111
洪山区,0.7798595446061393
孝南区,0.2134804051912619
蔡甸区,0.053390803186833265
仙桃市,0.24527455344624238
咸安区,0.3656373333333332
云梦县,0.2930018365724623
青山区,0.10789685148659511
黄石市区,0.21237347460032163
江汉区,0.16976320175389542
天门市,0.41058616800055253
浠水县,0.420395023713266
黄州区,0.14540021883679827
嘉鱼县,0.34713091469848234
汉川市,0.48611111111111105
团风县,1.0
